,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
33669,"frozenset({'SurfaceCondition_Water (standing / moving)', 'InjuryType_Property Damage Only', 'Impairment_None', 'Animal_None/Other'})",frozenset({'Weather_Rain'}),0.00124964498721954,0.0720533939221812,0.0011076398750355012,0.8863636363636364,12.301483498763751,0.0010175987125084925,8.165930133484805
1609,"frozenset({'SurfaceCondition_Water (standing / moving)', 'Animal_None/Other'})",frozenset({'Weather_Rain'}),0.0021016756603237717,0.0720533939221812,0.001846066458392502,0.8783783783783783,12.190659323099212,0.001694633594142533,7.629783205528726
9214,"frozenset({'SurfaceCondition_Water (standing / moving)', 'Impairment_None', 'Animal_None/Other'})",frozenset({'Weather_Rain'}),0.002044873615450156,0.0720533939221812,0.0017892644135188867,0.875,12.143772171856524,0.0016419243293837817,7.42357284862255
3800,"frozenset({'SurfaceCondition_Water (standing / moving)', 'InjuryType_Property Damage Only'})",frozenset({'Weather_Rain'}),0.0013064470320931553,0.0720533939221812,0.001136040897472309,0.8695652173913044,12.068345015509589,0.0010419069548304363,7.114257313263282
350,frozenset({'SurfaceCondition_Water (standing / moving)'}),frozenset({'Weather_Rain'}),0.0021300766827605793,0.0720533939221812,0.001846066458392502,0.8666666666666667,12.028117198791223,0.001692587204085101,6.959599545583642
17267,"frozenset({'SurfaceCondition_Water (standing / moving)', 'InjuryType_Property Damage Only', 'Impairment_None'})",frozenset({'Weather_Rain'}),0.0012780460096563477,0.0720533939221812,0.0011076398750355012,0.8666666666666666,12.028117198791222,0.0010155523224510605,6.959599545583637
3303,"frozenset({'SurfaceCondition_Water (standing / moving)', 'Impairment_None'})",frozenset({'Weather_Rain'}),0.002073274637886964,0.0720533939221812,0.0017892644135188867,0.8630136986301369,11.977419128406433,0.0016398779393263496,6.774010224368072
20136,"frozenset({'Animal_Deer', 'Weather_Rain'})","frozenset({'RoadCharacteristics_Not at a Junction', 'SurfaceCondition_Wet', 'Impairment_None'})",0.0021016756603237717,0.08443623970462937,0.001959670548139733,0.9324324324324323,11.04303597240025,0.0017822129583032497,13.550343652371469
48288,"frozenset({'Animal_Deer', 'InjuryType_Property Damage Only', 'Weather_Rain'})","frozenset({'RoadCharacteristics_Not at a Junction', 'SurfaceCondition_Wet', 'Impairment_None'})",0.002044873615450156,0.08443623970462937,0.0019028685032661176,0.9305555555555556,11.020807639122474,0.0017302070645062962,13.184118148253342
4898,"frozenset({'Animal_Deer', 'Weather_Rain'})","frozenset({'RoadCharacteristics_Not at a Junction', 'SurfaceCondition_Wet'})",0.0021016756603237717,0.09165009940357853,0.001959670548139733,0.9324324324324323,10.173828926540422,0.0017670517649569777,13.443578528827022
20128,"frozenset({'Animal_Deer', 'Weather_Rain', 'Impairment_None'})","frozenset({'RoadCharacteristics_Not at a Junction', 'SurfaceCondition_Wet'})",0.0021016756603237717,0.09165009940357853,0.001959670548139733,0.9324324324324323,10.173828926540422,0.0017670517649569777,13.443578528827022
48273,"frozenset({'Animal_Deer', 'InjuryType_Property Damage Only', 'Weather_Rain', 'Impairment_None'})","frozenset({'RoadCharacteristics_Not at a Junction', 'SurfaceCondition_Wet'})",0.002044873615450156,0.09165009940357853,0.0019028685032661176,0.9305555555555556,10.153350204868643,0.0017154556331423559,13.080238568588474
20262,"frozenset({'Animal_Deer', 'InjuryType_Property Damage Only', 'Weather_Rain'})","frozenset({'RoadCharacteristics_Not at a Junction', 'SurfaceCondition_Wet'})",0.002044873615450156,0.09165009940357853,0.0019028685032661176,0.9305555555555556,10.153350204868643,0.0017154556331423559,13.080238568588474
